N_trial;name;N_shapes;target_presence;is_training;is_flashing;is_focus_frame;is_symbols;is_conj;is_structure;is_clue;target_shape;target_colour;target_angle;target_rules;distr_rules;D1_shape;D1_colour;D1_angle;target_location;target_coordinates
0;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_0.png;25;False;False;False;False;True;True;True;False;ࡏ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡏ;(0, 0, 0);0;False;(690, 271)
1;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_1.png;25;False;False;False;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡖ;(0, 0, 0);0;False;(833, 407)
2;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_2.png;25;False;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱟ;(0, 0, 0);0;False;(690, 811)
3;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_3.png;25;True;False;False;False;True;True;True;False;ࡕ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡐ;(0, 0, 0);0;6;(825, 405)
4;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_4.png;25;True;False;False;False;True;True;True;False;ࡏ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡁ;(0, 0, 0);0;0;(688, 278)
5;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_5.png;25;True;False;False;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱶ;(0, 0, 0);0;5;(701, 390)
6;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_6.png;25;True;False;False;False;True;True;True;False;ࡊ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡌ;(0, 0, 0);0;17;(960, 689)
7;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_7.png;25;True;False;False;False;True;True;True;False;ᱚ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱷ;(0, 0, 0);0;1;(827, 264)
8;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_8.png;25;True;False;False;False;True;True;True;False;ࡒ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ࡌ;(0, 0, 0);0;13;(1103, 539)
9;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_0\images\image_9.png;25;True;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': True, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}};ᱚ;(0, 0, 0);0;0;(689, 270)
