N_trial;name;N_shapes;target_presence;is_training;is_flashing;is_focus_frame;is_symbols;is_conj;is_structure;is_clue;target_shape;target_colour;target_angle;target_rules;distr_rules;D1_shape;D1_colour;D1_angle;target_location;target_coordinates
0;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_0.png;25;True;False;False;False;True;True;True;False;ᱩ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱩ;(0, 0, 0);0;2;(963, 269)
1;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_1.png;25;False;False;False;False;True;True;True;False;ࡌ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡌ;(0, 0, 0);0;False;(1095, 393)
2;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_2.png;25;True;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱟ;(0, 0, 0);0;0;(690, 270)
3;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_3.png;25;True;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱟ;(0, 0, 0);0;10;(695, 531)
4;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_4.png;25;False;False;False;False;True;True;True;False;ᱤ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱤ;(0, 0, 0);0;False;(690, 404)
5;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_5.png;25;False;False;False;False;True;True;True;False;ᱷ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱷ;(0, 0, 0);0;False;(944, 406)
6;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_6.png;25;True;False;False;False;True;True;True;False;ࡒ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡒ;(0, 0, 0);0;2;(970, 254)
7;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_7.png;25;True;False;False;False;True;True;True;False;ࡑ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡑ;(0, 0, 0);0;11;(824, 535)
8;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_8.png;25;True;False;False;False;True;True;True;False;ᱣ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱣ;(0, 0, 0);0;20;(695, 820)
9;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_9.png;25;True;False;False;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡖ;(0, 0, 0);0;20;(678, 814)
10;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_10.png;25;True;False;False;False;True;True;True;False;ᱚ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱚ;(0, 0, 0);0;7;(963, 409)
11;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_11.png;25;True;False;False;False;True;True;True;False;ࡒ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡒ;(0, 0, 0);0;19;(1231, 675)
12;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_12.png;25;True;False;False;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱨ;(0, 0, 0);0;0;(699, 265)
13;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_13.png;25;True;False;False;False;True;True;True;False;ᱶ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱶ;(0, 0, 0);0;11;(815, 527)
14;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_14.png;25;True;False;False;False;True;True;True;False;ࡏ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡏ;(0, 0, 0);0;13;(1109, 541)
15;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_15.png;25;True;False;False;False;True;True;True;False;ࡕ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡕ;(0, 0, 0);0;24;(1229, 807)
16;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_16.png;25;True;False;False;False;True;True;True;False;ࡊ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡊ;(0, 0, 0);0;23;(1095, 809)
17;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_17.png;25;True;False;False;False;True;True;True;False;ࡑ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡑ;(0, 0, 0);0;8;(1094, 399)
18;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_18.png;25;True;False;False;False;True;True;True;False;ࡑ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡑ;(0, 0, 0);0;20;(689, 813)
19;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_19.png;25;True;False;False;False;True;True;True;False;ࡒ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡒ;(0, 0, 0);0;3;(1096, 272)
20;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_20.png;25;True;False;False;False;True;True;True;False;ᱩ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱩ;(0, 0, 0);0;5;(678, 405)
21;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_21.png;25;True;False;False;False;True;True;True;False;ᱤ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱤ;(0, 0, 0);0;2;(945, 279)
22;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_22.png;25;True;False;False;False;True;True;True;False;ᱩ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱩ;(0, 0, 0);0;11;(821, 549)
23;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_23.png;25;False;False;False;False;True;True;True;False;ᱱ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱱ;(0, 0, 0);0;False;(825, 407)
24;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_24.png;25;True;False;False;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ࡖ;(0, 0, 0);0;8;(1090, 398)
25;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_1\images\image_25.png;25;True;False;False;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': True};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False}};ᱟ;(0, 0, 0);0;21;(819, 813)
