N_trial;name;N_shapes;target_presence;is_training;is_flashing;is_focus_frame;is_symbols;is_conj;is_structure;is_clue;target_shape;target_colour;target_angle;target_rules;distr_rules;D1_shape;D1_colour;D1_angle;target_location;target_coordinates
0;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_0.png;25;False;False;True;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ࡖ;(0, 0, 0);0;False;(701, 666)
1;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_1.png;25;True;False;True;False;True;True;True;False;ᱷ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱷ;(0, 0, 0);0;12;(955, 545)
2;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_2.png;25;True;False;True;False;True;True;True;False;ᱟ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱟ;(0, 0, 0);0;15;(698, 665)
3;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_3.png;25;True;False;True;False;True;True;True;False;ᱚ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱚ;(0, 0, 0);0;12;(945, 537)
4;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_4.png;25;True;False;True;False;True;True;True;False;ᱤ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱤ;(0, 0, 0);0;9;(1233, 407)
5;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_5.png;25;True;False;True;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;21;(820, 801)
6;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_6.png;25;True;False;True;False;True;True;True;False;ࡌ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ࡌ;(0, 0, 0);0;0;(692, 274)
7;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_7.png;25;True;False;True;False;True;True;True;False;ᱱ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱱ;(0, 0, 0);0;8;(1101, 418)
8;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_8.png;25;True;False;True;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;18;(1083, 659)
9;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_9.png;25;False;False;True;False;True;True;True;False;ࡐ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ࡐ;(0, 0, 0);0;False;(697, 417)
10;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_10.png;25;False;False;True;False;True;True;True;False;ᱨ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱨ;(0, 0, 0);0;False;(702, 407)
11;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_11.png;25;True;False;True;False;True;True;True;False;ࡖ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ࡖ;(0, 0, 0);0;8;(1080, 394)
12;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_12.png;25;True;False;True;False;True;True;True;False;ᱷ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱷ;(0, 0, 0);0;15;(676, 684)
13;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_13.png;25;True;False;True;False;True;True;True;False;ࡏ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ࡏ;(0, 0, 0);0;3;(1083, 273)
14;c:\Users\Alina\Downloads\Mental_Rotation_and_Lab\pop_out_effect_code\experiment_results\exp_3\images\image_14.png;25;True;False;True;False;True;True;True;False;ᱚ;(0, 0, 0);0;{'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': True, 'mirror_H': False};{'0': {'colour': False, 'shape': False, 'size': False, 'rotation': False, 'mirror': False, 'mirror_H': False}, '1': {'colour': False, 'shape': False, 'size': False, 'rotation': True, 'mirror': False, 'mirror_H': False}};ᱚ;(0, 0, 0);0;14;(1232, 534)
